,No source in $2 with unapproved $1,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
1958,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,supplement expression|has supplement expression,,,,http://rdaregistry.info/Elements/e/P20172,has supplement expression,,,,,
1959,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,screenplay for motion picture expression|is screenplay for motion picture expression,,,,http://rdaregistry.info/Elements/e/P20173,is screenplay for motion picture expression,,,,,
1960,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,screenplay for television program expression|is screenplay for television program expression,,,,http://rdaregistry.info/Elements/e/P20174,is screenplay for television program expression,,,,,
1961,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,screenplay for video expression|is screenplay for video expression,,,,http://rdaregistry.info/Elements/e/P20175,is screenplay for video expression,,,,,
1962,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,script for radio program expression|is script for radio program expression,,,,http://rdaregistry.info/Elements/e/P20176,is script for radio program expression,,,,,
1963,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,addenda to expression|is addenda to expression,,,,http://rdaregistry.info/Elements/e/P20177,is addenda to expression,,,,,
1964,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,summary of expression|is summary of expression,,,,http://rdaregistry.info/Elements/e/P20179,is summary of expression,,,,,
1965,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,catalogue of expression|is catalogue of expression,,,,http://rdaregistry.info/Elements/e/P20180,is catalogue of expression,,,,,
1966,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,concordance to expression|is concordance to expression,,,,http://rdaregistry.info/Elements/e/P20181,is concordance to expression,,,,,
1967,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,choreographic adaptation of expression|is choreographic adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20183,is choreographic adaptation of expression,,,,,
1968,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expanded version of expression|is expanded version of expression,,,,http://rdaregistry.info/Elements/e/P20184,is expanded version of expression,,,,,
1969,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,remake of expression|is remake of expression,,,,http://rdaregistry.info/Elements/e/P20185,is remake of expression,,,,,
1970,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,paraphrase of expression|is paraphrase of expression,,,,http://rdaregistry.info/Elements/e/P20186,is paraphrase of expression,,,,,
1971,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,index to expression|is index to expression,,,,http://rdaregistry.info/Elements/e/P20188,is index to expression,,,,,
1972,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,revision of|is revision of,,,,http://rdaregistry.info/Elements/e/P20189,is revision of,,,,,
1973,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,libretto based on expression|is libretto based on expression,,,,http://rdaregistry.info/Elements/e/P20190,is libretto based on expression,,,,,
1974,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,augmentation of expression|is augmentation of expression,,,,http://rdaregistry.info/Elements/e/P20192,is augmentation of expression,,,,,
1975,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,abstracts for expression|is abstracts for expression,,,,http://rdaregistry.info/Elements/e/P20193,is abstracts for expression,,,,,
1976,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,indexing for expression|is indexing for expression,,,,http://rdaregistry.info/Elements/e/P20194,is indexing for expression,,,,,
1977,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,imitation of expression|is imitation of expression,,,,http://rdaregistry.info/Elements/e/P20195,is imitation of expression,,,,,
1978,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,parody of expression|is parody of expression,,,,http://rdaregistry.info/Elements/e/P20196,is parody of expression,,,,,
1979,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,finding aid for expression|is finding aid for expression,,,,http://rdaregistry.info/Elements/e/P20197,is finding aid for expression,,,,,
1980,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression of derivative work|has expression of derivative work,,,,http://rdaregistry.info/Elements/e/P20203,has expression of derivative work,,,,,
1981,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression of source work|has expression of source work,,,,http://rdaregistry.info/Elements/e/P20204,has expression of source work,,,,,
1982,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,revised as|is revised as,,,,http://rdaregistry.info/Elements/e/P20211,is revised as,,,,,
1983,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,merged to form expression|is merged to form expression,,,,http://rdaregistry.info/Elements/e/P20212,is merged to form expression,,,,,
1984,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,musical theatre adaptation of expression|is musical theatre adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20239,is musical theatre adaptation of expression,,,,,
1985,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,opera adaptation of expression|is opera adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20240,is opera adaptation of expression,,,,,
1986,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as musical theatre expression|is adapted as musical theatre expression,,,,http://rdaregistry.info/Elements/e/P20241,is adapted as musical theatre expression,,,,,
1987,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as opera expression|is adapted as opera expression,,,,http://rdaregistry.info/Elements/e/P20242,is adapted as opera expression,,,,,
1988,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,music expression|has music expression,,,,http://rdaregistry.info/Elements/e/P20243,has music expression,,,,,
1989,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,music for expression|is music for expression,,,,http://rdaregistry.info/Elements/e/P20244,is music for expression,,,,,
1990,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,video music expression|has video music expression,,,,http://rdaregistry.info/Elements/e/P20245,has video music expression,,,,,
1991,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,music for video expression|is music for video expression,,,,http://rdaregistry.info/Elements/e/P20246,is music for video expression,,,,,
1992,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,television program music expression|has television program music expression,,,,http://rdaregistry.info/Elements/e/P20247,has television program music expression,,,,,
1993,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,music for television program expression|is music for television program expression,,,,http://rdaregistry.info/Elements/e/P20248,is music for television program expression,,,,,
1994,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,radio program music expression|has radio program music expression,,,,http://rdaregistry.info/Elements/e/P20249,has radio program music expression,,,,,
1995,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,music for radio program expression|is music for radio program expression,,,,http://rdaregistry.info/Elements/e/P20250,is music for radio program expression,,,,,
1996,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,motion picture music expression|has motion picture music expression,,,,http://rdaregistry.info/Elements/e/P20251,has motion picture music expression,,,,,
1997,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,music for motion picture expression|is music for motion picture expression,,,,http://rdaregistry.info/Elements/e/P20252,is music for motion picture expression,,,,,
1998,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,choreography expression|has choreography expression,,,,http://rdaregistry.info/Elements/e/P20253,has choreography expression,,,,,
1999,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,choreography for expression|is choreography for expression,,,,http://rdaregistry.info/Elements/e/P20254,is choreography for expression,,,,,
2000,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as graphic novel expression|is adapted as graphic novel expression,,,,http://rdaregistry.info/Elements/e/P20255,is adapted as graphic novel expression,,,,,
2001,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,graphic novelization of expression|is graphic novelization of expression,,,,http://rdaregistry.info/Elements/e/P20256,is graphic novelization of expression,,,,,
2002,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,subject expression of|is subject expression of,,,,http://rdaregistry.info/Elements/e/P20268,is subject expression of,,,,,
2003,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression described in|is expression described in,,,,http://rdaregistry.info/Elements/e/P20269,is expression described in,,,,,
2004,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression analysed in|is expression analysed in,,,,http://rdaregistry.info/Elements/e/P20270,is expression analysed in,,,,,
2005,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression commentary in|is expression commentary in,,,,http://rdaregistry.info/Elements/e/P20271,is expression commentary in,,,,,
2006,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression critiqued in|is expression critiqued in,,,,http://rdaregistry.info/Elements/e/P20272,is expression critiqued in,,,,,
2007,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression evaluated in|is expression evaluated in,,,,http://rdaregistry.info/Elements/e/P20273,is expression evaluated in,,,,,
2008,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression reviewed in|is expression reviewed in,,,,http://rdaregistry.info/Elements/e/P20274,is expression reviewed in,,,,,
2009,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,oratorio adaptation of expression|is oratorio adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20281,is oratorio adaptation of expression,,,,,
2010,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as oratorio expression|is adapted as oratorio expression,,,,http://rdaregistry.info/Elements/e/P20282,is adapted as oratorio expression,,,,,
2011,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,,,,,http://rdaregistry.info/Elements/e/P20319,aggregates,,,,,
2012,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,aggregated by|is aggregated by,,,,http://rdaregistry.info/Elements/e/P20320,is aggregated by,,,,,
2013,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,source expression|has source expression,,,,http://rdaregistry.info/Elements/e/P20574,has source expression,,,,,
2014,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,derivative expression|has derivative expression,,,,http://rdaregistry.info/Elements/e/P20575,has derivative expression,,,,,
2015,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,manifestation described in|is manifestation described in,,,,http://rdaregistry.info/Elements/m/P30254,is manifestation described in,,,,,
2016,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,manifestation analysed in|is manifestation analysed in,,,,http://rdaregistry.info/Elements/m/P30255,is manifestation analysed in,,,,,
2017,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,manifestation commentary in|is manifestation commentary in,,,,http://rdaregistry.info/Elements/m/P30256,is manifestation commentary in,,,,,
